,ft,bt,km,transmission,ownerNo,model,modelYear,price,Mileage,Engine,Seats,city
4898,Diesel,MUV,120000.0,Manual,1,Toyota Innova,2012.0,750000.0,12.99,1949.5,7.0,Hyderabad
4899,Diesel,MUV,120000.0,Manual,2,Toyota Innova,2013.0,975000.0,12.99,1949.5,7.0,Hyderabad
4900,Petrol,Hatchback,50824.0,Manual,1,Maruti Swift,2013.0,447000.0,22.38,1197.0,5.0,Hyderabad
4901,Diesel,Hatchback,85507.0,Manual,2,Maruti Swift,2013.0,409999.99999999994,22.9,1248.0,5.0,Hyderabad
4902,Diesel,Sedan,70000.0,Manual,1,Hyundai Verna,2010.0,330000.0,16.8,1493.0,5.0,Hyderabad
4903,Petrol,Hatchback,75773.0,Manual,2,Maruti Ritz,2014.0,372000.0,18.5,1197.0,5.0,Hyderabad
4904,Diesel,Hatchback,62000.0,Manual,1,Hyundai Grand i10,2016.0,470000.0,24.0,1120.0,5.0,Hyderabad
4905,Petrol,Hatchback,47004.0,Manual,1,Hyundai i10,2012.0,297000.0,20.36,1197.0,5.0,Hyderabad
4906,Diesel,Hatchback,110000.0,Manual,2,Volkswagen Polo,2014.0,420000.0,20.14,1498.0,5.0,Hyderabad
4907,Diesel,Hatchback,97085.0,Manual,2,Maruti Swift,2013.0,405999.99999999994,22.9,1248.0,5.0,Hyderabad
4908,Diesel,Sedan,87449.0,Manual,3,Hyundai Verna,2014.0,561000.0,22.32,1582.0,5.0,Hyderabad
4909,Diesel,Hatchback,100000.0,Manual,1,Maruti Ritz,2016.0,350000.0,23.2,1248.0,5.0,Hyderabad
4910,Petrol,Hatchback,53338.0,Manual,2,Maruti Alto,2012.0,193000.0,19.7,796.0,5.0,Hyderabad
4911,Petrol,Sedan,120000.0,Manual,2,Honda City,2011.0,400000.0,17.0,1497.0,5.0,Hyderabad
4912,Diesel,Hatchback,78000.0,Manual,1,Hyundai i20,2019.0,765000.0,22.54,1396.0,5.0,Hyderabad
4913,Diesel,MUV,112000.0,Manual,1,Toyota Innova Crysta,2017.0,1776500.0,13.68,1949.5,7.0,Hyderabad
4914,Petrol,SUV,10000.0,Manual,1,Nissan Magnite,2022.0,850000.0,18.75,999.0,5.0,Hyderabad
4915,Petrol,SUV,20000.0,Manual,1,Maruti Vitara Brezza,2022.0,1000000.0,17.03,1462.0,5.0,Hyderabad
4916,Diesel,SUV,89000.0,Manual,2,Mahindra XUV500,2012.0,556000.0,15.1,1949.5,7.0,Hyderabad
4917,Petrol,Hatchback,100000.0,Manual,2,Maruti Alto,2008.0,100000.0,19.7,796.0,5.0,Hyderabad
4918,Petrol,MUV,20000.0,Manual,1,Maruti Ertiga,2021.0,1050000.0,19.01,1462.0,7.0,Hyderabad
4919,Petrol,SUV,13918.0,Manual,1,Nissan Magnite,2022.0,909000.0,20.0,999.0,5.0,Hyderabad
4920,Petrol,SUV,28839.0,Manual,1,Nissan Magnite,2020.0,734000.0,18.75,999.0,5.0,Hyderabad
4921,Petrol,Hatchback,30000.0,Automatic,1,Maruti Celerio,2017.0,450000.0,23.1,998.0,5.0,Hyderabad
4922,Petrol,Hatchback,16097.0,Automatic,1,Datsun RediGO,2018.0,356000.0,23.0,999.0,5.0,Hyderabad
4923,Petrol,Hatchback,23683.0,Automatic,1,Volkswagen Polo,2021.0,835000.0,16.47,999.0,5.0,Hyderabad
4924,Diesel,MUV,10000.0,Manual,1,Toyota Innova Crysta,2023.0,1776500.0,18.9,1949.5,7.0,Hyderabad
4925,Petrol,Hatchback,48471.0,Manual,2,Maruti Alto K10,2013.0,233000.0,24.39,998.0,5.0,Hyderabad
4926,Petrol,Hatchback,62437.0,Manual,2,Maruti Alto K10,2013.0,221000.0,24.39,998.0,5.0,Hyderabad
4927,Petrol,Sedan,45000.0,Automatic,1,Tata Tigor,2018.0,549000.0,20.3,1199.0,5.0,Hyderabad
4928,Petrol,Sedan,15992.0,Manual,1,Maruti Ciaz,2022.0,881000.0,20.65,1462.0,5.0,Hyderabad
4929,Petrol,Hatchback,34000.0,Manual,1,Maruti Alto 800,2018.0,325000.0,24.7,796.0,5.0,Hyderabad
4930,Petrol,Hatchback,45000.0,Manual,1,Hyundai i10,2008.0,250000.0,20.36,1197.0,5.0,Hyderabad
4931,Diesel,MUV,90000.0,Manual,1,Maruti Ertiga,2016.0,810000.0,24.2,1498.0,7.0,Hyderabad
4932,Diesel,SUV,40000.0,Automatic,1,Tata Nexon,2018.0,1200000.0,21.5,1497.0,5.0,Hyderabad
4933,Petrol,Hatchback,22907.0,Manual,1,Maruti Swift,2022.0,650000.0,22.38,1197.0,5.0,Hyderabad
4934,Cng,Hatchback,79000.0,Manual,1,Maruti Wagon R,2012.0,315000.0,27.984999999999992,998.0,5.0,Hyderabad
4935,Diesel,Sedan,90000.0,Manual,2,Hyundai Xcent,2016.0,340000.0,24.4,1120.0,5.0,Hyderabad
4936,Petrol,Hatchback,16903.0,Manual,2,Maruti Alto 800,2019.0,333000.0,24.7,796.0,5.0,Hyderabad
4937,Petrol,Hatchback,36874.0,Automatic,1,Nissan Micra,2018.0,568000.0,19.15,1198.0,5.0,Hyderabad
4938,Petrol,Sedan,60000.0,Automatic,1,Maruti Ciaz,2017.0,650000.0,19.12,1373.0,5.0,Hyderabad
4939,Petrol,Hatchback,29994.0,Manual,2,Maruti Wagon R,2012.0,329000.0,18.9,998.0,5.0,Hyderabad
